lot_id,wafer_id,die_x,die_y,radius,angle_deg,status,defect_pattern,synthetic_data_flag
SYN-LOT-EDG,W01,-15.0,-95.0,96.17692030835673,-98.9726266148964,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,-10.0,-95.0,95.524865872714,-96.00900595749452,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,-5.0,-95.0,95.13148795220224,-93.01278750418334,PASS,EDGE_RING,True
SYN-LOT-EDG,W01,0.0,-95.0,95.0,-90.0,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,5.0,-95.0,95.13148795220224,-86.98721249581666,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,10.0,-95.0,95.524865872714,-83.99099404250548,PASS,EDGE_RING,True
SYN-LOT-EDG,W01,15.0,-95.0,96.17692030835673,-81.02737338510362,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,-35.0,-90.0,96.56603957913983,-111.25050550713325,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,-30.0,-90.0,94.86832980505137,-108.43494882292201,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,-25.0,-90.0,93.40770846134703,-105.52411099675426,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,-20.0,-90.0,92.19544457292888,-102.52880770915151,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,-15.0,-90.0,91.2414379544733,-99.46232220802563,PASS,EDGE_RING,True
SYN-LOT-EDG,W01,-10.0,-90.0,90.55385138137417,-96.3401917459099,PASS,EDGE_RING,True
SYN-LOT-EDG,W01,-5.0,-90.0,90.13878188659973,-93.17983011986423,PASS,EDGE_RING,True
SYN-LOT-EDG,W01,0.0,-90.0,90.0,-90.0,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,5.0,-90.0,90.13878188659973,-86.82016988013577,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,10.0,-90.0,90.55385138137417,-83.6598082540901,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,15.0,-90.0,91.2414379544733,-80.53767779197439,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,20.0,-90.0,92.19544457292888,-77.47119229084849,PASS,EDGE_RING,True
SYN-LOT-EDG,W01,25.0,-90.0,93.40770846134703,-74.47588900324574,FAIL,EDGE_RING,True
SYN-LOT-EDG,W01,30.0,-90.0,94.86832980505137,-71.56505117707799,FAIL,EDGE_RING,True
